Title,Description,Status,Priority,Labels,Project,Milestone,Parent,BlockedBy,Kind,CatalogId
[Gate 0] Product decisions DEC-001..008,"## Goal
Hold the eight Gate 0 product decisions (DEC-001..008) as a visible decision log. These are **not** engineering tasks.

## Acceptance
- Each DEC-001..008 child exists with owner and “klaar wanneer”.
- Engineering work that is actually blocked cites the DEC via blocked-by (Slice B → DEC-006).
- Closing a DEC means the written decision is in the repo or Linear; it does not mean code shipped.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,High,gate-0,Job Intelligence,Gate 0,,,epic,GATE-0
[DEC-001] Accepteer Ideal State Criteria en donderdagscope,"## Goal
Record and close **DEC-001** (P0) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Robbie + Ryan

## Klaar wanneer
Read-only slice versus inclusief Spot/Spott staat schriftelijk vast.

## Notes
This is a **product decision**, not an engineering task.

The Slice A plan infers donderdag = read path only (BUILD_BRIEF Slice A + brainstorm). Slice B export is out of the Thursday claim unless this decision explicitly expands scope.

Ideal State Criteria: `docs/BUILD_BRIEF.md` §2 (criteria 1–5, 7–10 for Slice A; criterion 6 is interface-only until Slice B).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,High,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-001
[DEC-002] Lever definitieve bronmatrix / deep dive,"## Goal
Record and close **DEC-002** (P0) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Robbie

## Klaar wanneer
Iedere bron heeft URL, land, prioriteit, methode, auth, frequentie, eigenaar en ToS/AVG-status.

## Notes
This is a **product decision**, not an engineering task.

`docs/SOURCE_MATRIX.md` already records the 27 Aug verification (23 real bronnen, ladder, ToS notes). Remaining product work: leveranciersaccounts, ToS-besluiten, and Indeed (JI-007).

**Do not** create one Linear issue per bron. Slice A implements TenderNed + Inhuurdesk only. Remaining sources wait for Slice C as a single placeholder.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,High,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-002
[DEC-003] Leg schema en deduperegels vast,"## Goal
Record and close **DEC-003** (P0) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Samen (Robbie + Ryan)

## Klaar wanneer
Verplichte velden, unknown-gedrag en drie dedupe-niveaus zijn geaccepteerd.

## Notes
This is a **product decision**, not an engineering task.

Plan default (KTD3/KTD8): 75-field model is the target schema, not a Slice A completeness gate. Unknown stays explicit. Three dedupe problems: ingest idempotency, cross-source identity (reversible), effect idempotency (Slice B).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,High,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-003
[DEC-004] Leg searchcontract en SLO vast,"## Goal
Record and close **DEC-004** (P0) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Robbie

## Klaar wanneer
Syntax, velden, filters, p95/p99 en benchmarkqueryset zijn testbaar.

## Notes
This is a **product decision**, not an engineering task.

Plan default: Boolean over titel + volledige beschrijving; `AND` `OR` `NOT` parentheses phrases; p95 ≤ 100 ms at SearchAdapter over 200k (JI-NFR-02 rewrite 27 Aug). BUILD_BRIEF 750 ms proposal is superseded for Slice A. Confirm or replace in writing.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,High,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-004
[DEC-005] Gebruik Postgres 16 on-box; Motian-Neon alleen als read-only importbron,"## Goal
Record and close **DEC-005** (P0) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Ryan

## Klaar wanneer
De on-box datastroom, read-only backfill, restore/rollback en operationele exit-gates zijn beschreven.

## Notes
This is a **product / architecture decision**, not a Slice A coding task.

**Accepted/Done 28-08-2026 as RJC-321:** the new Catapulze system of record is **Postgres 16 on-box from P0**, provisioned with Docker Compose. Motian-Neon is exclusively a **read-only import source** for the legacy backfill; Catapulze never writes to it and does not use it as an application fallback or dual-write target. The schema remains portable PostgreSQL.

This avoids a later Neon-to-on-box migration and keeps Postgres, the outbox worker, and Manticore on the same private host/network. U8 owns the idempotent Motian-Neon backfill with retained `v1_id` provenance.

Production gates:
- the Postgres data directory uses a protected persistent volume; normal operations never run `docker compose down -v`;
- port 5432 is private and is not published to the internet;
- continuous WAL archiving and off-site backups are enabled, and a restore from empty is tested before production and on a recurring schedule;
- disk, memory, connections, WAL growth, backup freshness, and restore results are monitored; Postgres receives resource priority over the rebuildable Manticore index;
- if HA becomes required, or measured disk/RAM contention threatens the database SLO, move Postgres to a dedicated DB host or managed PostgreSQL. Managed Neon remains an explicit exit option only when database operations are no longer carried in-house.

Rollback is backup/WAL restore of the Catapulze database plus replayable, idempotent imports; it is never a write-back or failover to Motian-Neon.

This decision does not prove implementation or production readiness; that evidence remains open under RJC-347.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Done,High,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-005
"[DEC-006] Bevestig Spot/Spott-product, URL, API en sandbox","## Goal
Record and close **DEC-006** (P1) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Robbie

## Klaar wanneer
Officiële docs, sandbox, minimale write scope en unieke ID zijn beschikbaar.

## Notes
This is a **product decision**, not an engineering task.

**Blocks all Slice B build work.** Do not spec or implement `commit_export` until the vendor, contract, and sandbox are confirmed.

Known: product is Spott.io (not “Spot”). Exact API/MCP, write scopes, and unique ID strategy are still open.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Medium,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-006
[DEC-007] Stel scrape- en hostingbudget vast,"## Goal
Record and close **DEC-007** (P1) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Robbie

## Klaar wanneer
Maandbudget en alarmeringsdrempels zijn bekend.

## Notes
This is a **product decision**, not an engineering task.

See `docs/COSTS.md` for the live cost card. Slice A can proceed with Trigger.dev Cloud + Upstash defaults; hard monthly caps wait on this decision.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,Medium,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-007
[DEC-008] Definieer raw-data-minimalisatie en retentie,"## Goal
Record and close **DEC-008** (P0) as a product decision.

## Type
Product decision — **not** an implementation ticket.

## Owner
Robbie + Ryan

## Klaar wanneer
PII-scan, toegestane velden, bewaartermijn, verwijderpad en uitzonderingen zijn vóór ingest vastgelegd.

## Notes
This is a **product decision**, not an engineering task.

Plan conservative default (A3): Slice A drops contact fields on normalise; raw payloads retain source bytes under object-storage lifecycle (**90 days** unless Robbie sets otherwise); audit events are not deleted by the same job. Exact retention days remain open (Q3).

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,High,gate-0,Job Intelligence,Gate 0,GATE-0,,decision,DEC-008
[Slice A] Job Intelligence read path,"## Goal
A recruiter can find current aanvragen from the Slice A sources in one screen, with documented Boolean meaning, each hit traceable to bron / bronrecord / ingest-run / normalisatieversie, and with no duplicate ingest or snapshot effects on replay.

## Scope (in)
TenderNed + Inhuurdesk, raw object storage, normalisation, three-level dedupe, SearchAdapter + Manticore, lean UI, MCP+REST from one capability registry, QuerySnapshot (no export), Motian-Neon read-only backfill into the new on-box Postgres, run health.

## Scope (out)
Spott.io writes, Candidate Intelligence, rung-3 Playwright logins, semantic/vector search, DuckLake, 75-field completeness as a P0 gate, Indeed until JI-007.

## Children
U1–U10 (U8 and U9 may proceed in parallel after U7; U10 may proceed after U2). Sequencing: U1 → U2 → U3. U4 needs U3. U5 needs U2+U3. U6 needs U2+U5. U7 needs U6. U9 needs U7. U8 needs U4+U5+U6+U7. U10 needs U2 and remains an open production-readiness gate until its recovery and operations evidence passes.

## Success
SC1–SC6 in the plan. No Spott write path is callable. A green read path does not close U10 without current restore and operations evidence.

## Links
- Plan: `docs/plans/2026-08-27-2022-feat-slice-a-read-path-plan.md`
- GitHub PR: https://github.com/RyanLisse/catapulze-job-intelligence/pull/4
- Backlog: `docs/IMPLEMENTATION_BACKLOG.md`
- Fasering: `docs/BUILD_BRIEF.md` §10
- Bronmatrix: `docs/SOURCE_MATRIX.md` (do **not** explode into per-source issues)",Backlog,High,slice-a,Job Intelligence,Slice A,,,epic,SLICE-A
